datetime,r_f,near_Maturity_time,days_in_year,T1_min,next_Maturity_time,T2_min,close
2023-12-01 13:58:00,0.023439,2023-12-27 09:30:00,365,37172.0,2024-01-24 09:30:00,77492.0,0.91
2023-12-01 13:59:00,0.023439,2023-12-27 09:30:00,365,37171.0,2024-01-24 09:30:00,77491.0,0.911
2023-12-01 14:00:00,0.023439,2023-12-27 09:30:00,365,37170.0,2024-01-24 09:30:00,77490.0,0.911
2023-12-01 14:01:00,0.023439,2023-12-27 09:30:00,365,37169.0,2024-01-24 09:30:00,77489.0,0.91
2023-12-01 14:02:00,0.023439,2023-12-27 09:30:00,365,37168.0,2024-01-24 09:30:00,77488.0,0.911
2023-12-01 14:03:00,0.023439,2023-12-27 09:30:00,365,37167.0,2024-01-24 09:30:00,77487.0,0.911
2023-12-01 14:04:00,0.023439,2023-12-27 09:30:00,365,37166.0,2024-01-24 09:30:00,77486.0,0.912
2023-12-01 14:05:00,0.023439,2023-12-27 09:30:00,365,37165.0,2024-01-24 09:30:00,77485.0,0.91
2023-12-01 14:06:00,0.023439,2023-12-27 09:30:00,365,37164.0,2024-01-24 09:30:00,77484.0,0.911
2023-12-01 14:07:00,0.023439,2023-12-27 09:30:00,365,37163.0,2024-01-24 09:30:00,77483.0,0.91
2023-12-01 14:08:00,0.023439,2023-12-27 09:30:00,365,37162.0,2024-01-24 09:30:00,77482.0,0.909
2023-12-01 14:09:00,0.023439,2023-12-27 09:30:00,365,37161.0,2024-01-24 09:30:00,77481.0,0.911
2023-12-01 14:10:00,0.023439,2023-12-27 09:30:00,365,37160.0,2024-01-24 09:30:00,77480.0,0.91
2023-12-01 14:11:00,0.023439,2023-12-27 09:30:00,365,37159.0,2024-01-24 09:30:00,77479.0,0.911
2023-12-01 14:12:00,0.023439,2023-12-27 09:30:00,365,37158.0,2024-01-24 09:30:00,77478.0,0.911
2023-12-01 14:13:00,0.023439,2023-12-27 09:30:00,365,37157.0,2024-01-24 09:30:00,77477.0,0.911
2023-12-01 14:14:00,0.023439,2023-12-27 09:30:00,365,37156.0,2024-01-24 09:30:00,77476.0,0.91
2023-12-01 14:15:00,0.023439,2023-12-27 09:30:00,365,37155.0,2024-01-24 09:30:00,77475.0,0.91
2023-12-01 14:16:00,0.023439,2023-12-27 09:30:00,365,37154.0,2024-01-24 09:30:00,77474.0,0.91
2023-12-01 14:17:00,0.023439,2023-12-27 09:30:00,365,37153.0,2024-01-24 09:30:00,77473.0,0.909
2023-12-01 14:18:00,0.023439,2023-12-27 09:30:00,365,37152.0,2024-01-24 09:30:00,77472.0,0.908
2023-12-01 14:19:00,0.023439,2023-12-27 09:30:00,365,37151.0,2024-01-24 09:30:00,77471.0,0.909
2023-12-01 14:20:00,0.023439,2023-12-27 09:30:00,365,37150.0,2024-01-24 09:30:00,77470.0,0.909
2023-12-01 14:21:00,0.023439,2023-12-27 09:30:00,365,37149.0,2024-01-24 09:30:00,77469.0,0.91
2023-12-01 14:22:00,0.023439,2023-12-27 09:30:00,365,37148.0,2024-01-24 09:30:00,77468.0,0.909
2023-12-01 14:23:00,0.023439,2023-12-27 09:30:00,365,37147.0,2024-01-24 09:30:00,77467.0,0.909
2023-12-01 14:24:00,0.023439,2023-12-27 09:30:00,365,37146.0,2024-01-24 09:30:00,77466.0,0.909
2023-12-01 14:25:00,0.023439,2023-12-27 09:30:00,365,37145.0,2024-01-24 09:30:00,77465.0,0.909
