,datetime,r_f,near_maturity_time,days_in_year,T1_min,next_maturity_time,T2_min,close
77,2024-05-10 10:48:00,0.017044,2024-05-17 09:30:00,242,7122.0,2024-06-21 09:30:00,41682.0,5568.119
78,2024-05-10 10:49:00,0.017044,2024-05-17 09:30:00,242,7121.0,2024-06-21 09:30:00,41681.0,5574.0834
79,2024-05-10 10:50:00,0.017044,2024-05-17 09:30:00,242,7120.0,2024-06-21 09:30:00,41680.0,5573.5826
80,2024-05-10 10:51:00,0.017044,2024-05-17 09:30:00,242,7119.0,2024-06-21 09:30:00,41679.0,5572.3426
81,2024-05-10 10:52:00,0.017044,2024-05-17 09:30:00,242,7118.0,2024-06-21 09:30:00,41678.0,5569.4895
82,2024-05-10 10:53:00,0.017044,2024-05-17 09:30:00,242,7117.0,2024-06-21 09:30:00,41677.0,5572.9542
83,2024-05-10 10:54:00,0.017044,2024-05-17 09:30:00,242,7116.0,2024-06-21 09:30:00,41676.0,5573.4078
84,2024-05-10 10:55:00,0.017044,2024-05-17 09:30:00,242,7115.0,2024-06-21 09:30:00,41675.0,5569.8089
85,2024-05-10 10:56:00,0.017044,2024-05-17 09:30:00,242,7114.0,2024-06-21 09:30:00,41674.0,5572.143
86,2024-05-10 10:57:00,0.017044,2024-05-17 09:30:00,242,7113.0,2024-06-21 09:30:00,41673.0,5570.6776
87,2024-05-10 10:58:00,0.017044,2024-05-17 09:30:00,242,7112.0,2024-06-21 09:30:00,41672.0,5568.0157
88,2024-05-10 10:59:00,0.017044,2024-05-17 09:30:00,242,7111.0,2024-06-21 09:30:00,41671.0,5570.0901
89,2024-05-10 11:00:00,0.017044,2024-05-17 09:30:00,242,7110.0,2024-06-21 09:30:00,41670.0,5570.4521
90,2024-05-10 11:01:00,0.017044,2024-05-17 09:30:00,242,7109.0,2024-06-21 09:30:00,41669.0,5567.8684
91,2024-05-10 11:02:00,0.017044,2024-05-17 09:30:00,242,7108.0,2024-06-21 09:30:00,41668.0,5566.303
92,2024-05-10 11:03:00,0.017044,2024-05-17 09:30:00,242,7107.0,2024-06-21 09:30:00,41667.0,5565.1176
93,2024-05-10 11:04:00,0.017044,2024-05-17 09:30:00,242,7106.0,2024-06-21 09:30:00,41666.0,5566.7153
94,2024-05-10 11:05:00,0.017044,2024-05-17 09:30:00,242,7105.0,2024-06-21 09:30:00,41665.0,5567.7406
95,2024-05-10 11:06:00,0.017044,2024-05-17 09:30:00,242,7104.0,2024-06-21 09:30:00,41664.0,5571.2113
96,2024-05-10 11:07:00,0.017044,2024-05-17 09:30:00,242,7103.0,2024-06-21 09:30:00,41663.0,5561.2697
97,2024-05-10 11:08:00,0.017044,2024-05-17 09:30:00,242,7102.0,2024-06-21 09:30:00,41662.0,5554.3031
98,2024-05-10 11:09:00,0.017044,2024-05-17 09:30:00,242,7101.0,2024-06-21 09:30:00,41661.0,5554.1657
99,2024-05-10 11:10:00,0.017044,2024-05-17 09:30:00,242,7100.0,2024-06-21 09:30:00,41660.0,5551.4414
100,2024-05-10 11:11:00,0.017044,2024-05-17 09:30:00,242,7099.0,2024-06-21 09:30:00,41659.0,5552.9682
101,2024-05-10 11:12:00,0.017044,2024-05-17 09:30:00,242,7098.0,2024-06-21 09:30:00,41658.0,5553.4192
102,2024-05-10 11:13:00,0.017044,2024-05-17 09:30:00,242,7097.0,2024-06-21 09:30:00,41657.0,5555.2546
103,2024-05-10 11:14:00,0.017044,2024-05-17 09:30:00,242,7096.0,2024-06-21 09:30:00,41656.0,5554.9926
104,2024-05-10 11:15:00,0.017044,2024-05-17 09:30:00,242,7095.0,2024-06-21 09:30:00,41655.0,5555.5916
105,2024-05-10 11:16:00,0.017044,2024-05-17 09:30:00,242,7094.0,2024-06-21 09:30:00,41654.0,5557.5231
106,2024-05-10 11:17:00,0.017044,2024-05-17 09:30:00,242,7093.0,2024-06-21 09:30:00,41653.0,5558.7595
107,2024-05-10 11:18:00,0.017044,2024-05-17 09:30:00,242,7092.0,2024-06-21 09:30:00,41652.0,5560.4482
108,2024-05-10 11:19:00,0.017044,2024-05-17 09:30:00,242,7091.0,2024-06-21 09:30:00,41651.0,5556.7056
109,2024-05-10 11:20:00,0.017044,2024-05-17 09:30:00,242,7090.0,2024-06-21 09:30:00,41650.0,5557.473
110,2024-05-10 11:21:00,0.017044,2024-05-17 09:30:00,242,7089.0,2024-06-21 09:30:00,41649.0,5557.5633
111,2024-05-10 11:22:00,0.017044,2024-05-17 09:30:00,242,7088.0,2024-06-21 09:30:00,41648.0,5564.7526
112,2024-05-10 11:23:00,0.017044,2024-05-17 09:30:00,242,7087.0,2024-06-21 09:30:00,41647.0,5563.1431
113,2024-05-10 11:24:00,0.017044,2024-05-17 09:30:00,242,7086.0,2024-06-21 09:30:00,41646.0,5564.6873
114,2024-05-10 11:25:00,0.017044,2024-05-17 09:30:00,242,7085.0,2024-06-21 09:30:00,41645.0,5564.8754
